symbol,company_name,sector,weight
RELIANCE,Reliance Industries,Energy,12.5
TCS,Tata Consultancy Services,IT,10.2
INFY,Infosys,IT,8.5
HDFCBANK,HDFC Bank,Finance,8.3
ICICIBANK,ICICI Bank,Finance,7.1
KOTAKBANK,Kotak Mahindra Bank,Finance,4.2
SBIN,State Bank of India,Finance,5.8
HINDUNILVR,Hindustan Unilever,FMCG,3.2
ITC,ITC Limited,FMCG,2.8
BAJAJFINSV,Bajaj Finserv,Finance,2.5
MARUTI,Maruti Suzuki,Auto,2.3
TITAN,Titan Company,Consumer,2.1
SUNPHARMA,Sun Pharmaceuticals,Pharma,1.9
WIPRO,Wipro,IT,1.8
NESTLEIND,Nestle India,FMCG,1.7
LT,Larsen & Toubro,Engineering,1.6
HDFCLIFE,HDFC Life Insurance,Insurance,1.5
ONGC,Oil and Natural Gas Corporation,Energy,1.4
JSWSTEEL,JSW Steel,Steel,1.3
TATASTEEL,Tata Steel,Steel,1.2
ADANIPORTS,Adani Ports and Special Economic Zone,Port,1.1
ADANIGREEN,Adani Green Energy,Energy,1.0
ADANIPOWER,Adani Power,Energy,0.9
BHARTIARTL,Bharti Airtel,Telecom,1.6
VI,Vodafone Idea,Telecom,0.5
AXISBANK,Axis Bank,Finance,2.8
COALINDIA,Coal India,Energy,1.1
NTPC,NTPC Limited,Energy,1.0
POWER,Power Grid Corporation,Utility,0.8
ULTRACEMCO,UltraTech Cement,Materials,1.2
SHREECEM,Shree Cement,Materials,0.7
INDIGO,Indigo,Aviation,0.6
EICHERMOT,Eicher Motors,Auto,0.6
HEROMOTOCO,Hero MotoCorp,Auto,0.8
BHEL,Bharat Heavy Electricals,Engineering,0.5
DRREDDY,Dr Reddy's Laboratories,Pharma,1.0
CIPLA,Cipla,Pharma,0.7
ASIANPAINT,Asian Paints,Paint,0.9
DMART,Avenue Supermarts,Retail,1.0
SBILIFE,SBI Life Insurance,Insurance,1.0
GAIL,GAIL (India),Energy,0.6
APOLLOHOSP,Apollo Hospitals,Healthcare,0.5
HCLTECH,HCL Technologies,IT,1.4
TECHM,Tech Mahindra,IT,0.7
INDUSTOWER,Indus Towers,Telecom,0.6
GICRE,General Insurance,Insurance,0.4
BAJAJHLDNG,Bajaj Holdings,Finance,0.3
PFC,Power Finance Corporation,Finance,0.5
REC,Rural Electrification Corporation,Finance,0.4
ADANIENTERP,Adani Enterprises,Conglomerate,0.6
